source_name,has_readme,has_probe_script,has_next_steps_section,sample_dir_exists,sample_file_count,sample_total_bytes,sample_examples,report_names,report_check_count,report_success_count,report_error_count,report_ssl_failure_count,live_probe_status
acs_5y,True,True,False,True,2,10457875,"philly_zcta_sample.json, variables_head.json","acs_5y_variables, acs_5y_philly_zcta_sample",2,2,0,0,ok
bls_labor_cpi,True,True,False,True,3,508591,"cu_area_head.txt, eag_philly_county_head.html, la_area_head.txt","bls_labor_area_lookup, bls_cpi_area_lookup",2,2,0,0,ok
fred,True,True,True,True,1,6508,philly_unemployment_head.csv,fred_philly_unemployment,1,1,0,0,ok
hud_fmr,True,True,False,True,3,750000,"fmr_county_head.bin, fmr_county_head.csv, fmr_portal_head.html",hud_fmr_county_sample,1,1,0,0,ok
lehd_lodes,True,True,False,True,6,997651,"lodes_directory_head.html, pa_directory_head.html, pa_lodes_head.csv.gz",lehd_lodes_directory,1,1,0,0,ok
ntad_amtrak,True,True,True,True,1,3789,amtrak_sample.geojson,ntad_amtrak_stations,1,1,0,0,ok
opendataphilly_crime_incidents,True,True,False,True,2,305033,"dataset_page.html, resource_head.bin",opendataphilly_crime_incidents,1,1,0,0,ok
opendataphilly_li_property_history,True,True,True,True,6,21951,"dataset_metadata.md, dataset_page.html, li_appeals_head.csv","li_property_history_li_permits, li_property_history_li_violations, li_property_history_li_appeals",3,3,0,0,ok
opendataphilly_rental_suitability,True,True,True,True,2,264321,"dataset_page.html, resource_head.bin",opendataphilly_rental_suitability,1,1,0,0,ok
phl_property_bulk,True,True,True,True,2,130931,"property_asset_head.bin, property_download_page.html",phl_property_bulk_download,1,1,0,0,ok
septa_gtfs,True,True,True,True,2,42596871,"gtfs_nested.zip, gtfs_public.zip",septa_gtfs,1,1,0,0,ok
septa_gtfs_rt,True,True,True,True,2,148626,"gtfs_rt_legacy_realtime_sample.json, gtfs_rt_metadata_sample.html",septa_gtfs_rt_probe,1,1,0,0,ok
zillow,True,True,False,True,5,3150000,"city_zori_head.csv, metro_zori_head.csv, research_portal_head.html","zillow_zori_sample_metro, zillow_zori_sample_city, zillow_zori_sample_zip",3,3,0,0,ok
