geography_type,period_month,row_count,mean_target,std_target,mean_abs_target
zori_city,1,3893,0.0031245197437354765,0.006512116180080624,0.005371182638851083
zori_city,2,3842,0.005240509866623082,0.006931548564095203,0.006763703174684876
zori_city,3,3846,0.0070889961475936805,0.007091079999350317,0.008244413699379286
zori_city,4,3847,0.00691871061578784,0.007373154616610322,0.008199080995552957
zori_city,5,3853,0.007111014828233786,0.008232367961323497,0.008500144480853065
zori_city,6,3864,0.006356638810721799,0.008113920579669538,0.007794030491392408
zori_city,7,3860,0.005855786582985203,0.008023434339374429,0.007269701459770704
zori_city,8,3862,0.0039834115529312625,0.0079805684096243,0.0062934855197735815
zori_city,9,3869,0.0020736879423005504,0.007915089831803144,0.0058485293247564196
zori_city,10,3876,0.0003761785297554173,0.007647659273396322,0.005639325370980608
zori_city,11,3885,1.3217132815863475e-05,0.007802635144746021,0.005747314453441968
zori_city,12,3889,0.0008520572699095687,0.00740794891321021,0.00544994932193849
zori_country,1,11,0.0031099992920461815,0.0016862033693101723,0.0031099992920461815
zori_country,2,11,0.005571912286172246,0.0016787819332517826,0.005571912286172246
zori_country,3,11,0.007408850808154846,0.001612059260450813,0.007408850808154846
zori_country,4,11,0.007178965633127172,0.003081164096536558,0.007178965633127172
zori_country,5,11,0.007219186638350655,0.004130892206028029,0.007237249504936909
zori_country,6,11,0.006637121428984872,0.004981235158554999,0.006637121428984872
zori_country,7,11,0.005683584682161082,0.005021124690210698,0.005683584682161082
zori_country,8,11,0.003485549278072909,0.0049258398226807824,0.0034855492780729094
zori_country,9,11,0.0012158508443796817,0.0043797167969165255,0.0019134974522184453
zori_country,10,11,-0.00048398661629404547,0.003153400309897756,0.0021244740120972268
zori_country,11,11,-0.0006733868347858909,0.002485386335788323,0.0018481006750045456
zori_country,12,11,0.0002972506768997273,0.002165675943058003,0.0015839217363791637
zori_msa,1,1970,0.0031555819166927622,0.004921583484010089,0.004469965813724794
zori_msa,2,1955,0.0052984308985559786,0.005506298216599122,0.006111511788618064
zori_msa,3,1956,0.007189709862745309,0.005594436705756661,0.007763431743872222
zori_msa,4,1956,0.007222336300239605,0.0060141073417159865,0.007794822744811632
zori_msa,5,1956,0.007178184555158529,0.006496047317360174,0.007888018205315544
zori_msa,6,1962,0.006360600322273145,0.006558893425069529,0.0070543566796369426
zori_msa,7,1964,0.005516033902370548,0.006551630785619148,0.006430909938363308
zori_msa,8,1962,0.00393855102033465,0.006684088467830368,0.005387955147460057
zori_msa,9,1963,0.0020148824473727837,0.006371084704875411,0.004611286257368532
zori_msa,10,1963,0.0006719279080075149,0.005987466198075309,0.004371492058739572
zori_msa,11,1966,0.00018031453210073042,0.006027009677386589,0.004407911258971308
zori_msa,12,1968,0.0010462804304826484,0.005570252954160117,0.004142244815652335
zori_zip,1,5947,0.0026733884272478517,0.0103904869849267,0.007755710087007659
zori_zip,2,5531,0.00532611501968826,0.010398596843501813,0.008807081898781871
zori_zip,3,5568,0.007331955863260458,0.01065946510496503,0.010067406425254005
zori_zip,4,5639,0.007098710775716158,0.010473729099051934,0.009836660489908222
zori_zip,5,5681,0.006984939078025994,0.010653783545119743,0.009816076681571579
zori_zip,6,5753,0.0067828876041061935,0.010765723616814608,0.009564448359870265
zori_zip,7,5779,0.006166332185561525,0.010867887867549145,0.009165879637417247
zori_zip,8,5795,0.004340074248936546,0.011023502044399142,0.008498146931818683
zori_zip,9,5801,0.0016677658798436982,0.011068989533131951,0.008106489910027109
zori_zip,10,5822,-8.212983794885847e-05,0.010692476146994857,0.007910881392100019
zori_zip,11,5861,-0.0006769229440278336,0.011011377978787672,0.008170116986448817
zori_zip,12,5881,0.00022250752378770124,0.011410031459057541,0.00812548034117777
