geography_type,period_year,row_count,mean_target,std_target,mean_abs_target
zori_city,2015,3394,0.0041014620290598615,0.007652799344519089,0.006583594442020371
zori_city,2016,3968,0.0030466238201368808,0.007648094998797919,0.006150328791631752
zori_city,2017,4187,0.00388711065667886,0.007188779000528615,0.006269253155514183
zori_city,2018,4222,0.003597673326843463,0.006681073820958907,0.005776621735767132
zori_city,2019,4223,0.003253505410960059,0.006456821760938232,0.005645249893499547
zori_city,2020,4218,0.003848290825077994,0.00803404484636539,0.006751069953525594
zori_city,2021,4231,0.011281115217090262,0.010198963237472042,0.012393968941116681
zori_city,2022,4377,0.005341145973947731,0.009303777593415751,0.00855322078821935
zori_city,2023,4393,0.0026052121935174867,0.006766509167945773,0.0056242167950601935
zori_city,2024,4402,0.002526980514568928,0.006284012875632211,0.0053251514454880754
zori_city,2025,4404,0.0016935526076153023,0.007130260512744089,0.0054734929518605955
zori_city,2026,367,0.0010664826815080309,0.005620538937953003,0.004238129982758703
zori_country,2015,11,0.004056791860854291,0.003037752192679559,0.004056791860854291
zori_country,2016,12,0.002778435073864067,0.0029878953761321193,0.0032383732715739826
zori_country,2017,12,0.003581615068471475,0.0034512541738719337,0.0038090296979512088
zori_country,2018,12,0.003493577251733267,0.002834004939526511,0.0036761027786799162
zori_country,2019,12,0.003254409692440417,0.003162477049593886,0.003626551655973216
zori_country,2020,12,0.0014786133139943758,0.0026673233841013003,0.0022919668105418575
zori_country,2021,12,0.01197673839742095,0.005341254708606794,0.01197673839742095
zori_country,2022,12,0.005749100669421491,0.005859606337411595,0.006996191438491375
zori_country,2023,12,0.0024479767523153833,0.0034339865597880956,0.0034828942266372834
zori_country,2024,12,0.002457110813992925,0.0031546448471955644,0.003313660206609508
zori_country,2025,12,0.001750747020871967,0.003372473753716574,0.003094783520059334
zori_country,2026,1,0.0009152801662508,,0.0009152801662508
zori_msa,2015,1837,0.0035309376268060607,0.006166894275514156,0.005375369644033429
zori_msa,2016,2094,0.0026734487184448836,0.006302808595166625,0.005154244459708868
zori_msa,2017,2136,0.0035531268445050186,0.005844462873063972,0.005360317309996607
zori_msa,2018,2136,0.0034808540143851266,0.0050901586950727095,0.004835882274879733
zori_msa,2019,2136,0.0032443714894153197,0.005042011424228311,0.004769002438536429
zori_msa,2020,2127,0.004563308946276718,0.006003264355659845,0.0059801482291105025
zori_msa,2021,2157,0.010800517766555929,0.008499840257503536,0.011350856704146347
zori_msa,2022,2184,0.005647024231727216,0.007867877509080932,0.007788779008847563
zori_msa,2023,2184,0.0030578736543447962,0.005641754728492924,0.005006599315034013
zori_msa,2024,2184,0.002999654614506911,0.0049847559771954856,0.0046481693929399485
zori_msa,2025,2184,0.0021438118460315016,0.005241641151381562,0.0043982991093869965
zori_msa,2026,182,0.001356237547133195,0.004143444386937754,0.0031240415411530695
zori_zip,2015,3051,0.003979851827088756,0.009459767820810313,0.007460641218201398
zori_zip,2016,4164,0.0026017940141521544,0.009360248712934107,0.0073632255525673184
zori_zip,2017,4918,0.0035550906959904826,0.00927491899758786,0.007586074933834487
zori_zip,2018,5386,0.0034749286903172608,0.009208035508081011,0.007368629620351858
zori_zip,2019,5653,0.0032373350428023793,0.009008168105630442,0.007259107443935783
zori_zip,2020,5836,0.0029332032171654906,0.010891993029453192,0.008474254768151598
zori_zip,2021,6277,0.01110150440733316,0.013082252915630145,0.01357353228593084
zori_zip,2022,7490,0.005773584527725416,0.01266763296980458,0.010836946247425639
zori_zip,2023,8216,0.0027583140160812444,0.010629032726795405,0.008209961678645124
zori_zip,2024,8523,0.002662809400182964,0.010578649413479337,0.008098700661542967
zori_zip,2025,8793,0.002143837801776339,0.012043060648799512,0.008873304922830356
zori_zip,2026,751,0.0006747687950903681,0.012260169980069862,0.008439353140234127
